"momID","trial_num","fishID","col_location","col_month","lat_to_trial","weight","length","depth","svl","depth_adj","Sex","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","w1","w1_squared","W2","W2_bar","w2","W3","W3_bar","w3","i3"
"FL6F4",6,4,"TBML","october",11,1.7,152.162,5.249,69.552,0.0344961291255373,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL6F5",6,5,"TBML","october",13,3,170.718,7.772,79.468,0.0455253693225085,"F",1,263,0,263,"1",4,16,263,131.5,1.20091324200913,1,0.600456621004566,1,0
"FL6F6",6,6,"TBML","october",13,6.1,215.716,8.912,97.194,0.0413135789649354,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL6F7",6,7,"TBML","october",13,5.7,204.212,9.391,90.367,0.0459865238085911,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL6F8",6,8,"TBML","october",13,2.1,160.683,5.807,71.635,0.0361394795964726,"F",1,175,0,175,"1",4,16,175,87.5,0.799086757990868,1,0.399543378995434,1,0
"FL8F1",8,1,"TBML","october",28,3.2,187.551,5.919,87.162,0.0315594158388918,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL8F2",8,2,"TBML","october",28,5.3,213.903,7.713,98.804,0.0360584003029411,"F",1,7,66,73,"1",4,16,73,36.5,0.610878661087866,0.0958904109589041,0.0292887029288703,0.149789596203778,0.220789181350642
"FL8F3",8,3,"TBML","october",30,4.5,204.794,7.912,88.361,0.0386339443538385,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL8F4",8,4,"TBML","october",28,7.1,224.516,8.608,103.74,0.038340251919685,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL8F5",8,5,"TBML","october",28,2.7,174.166,6.447,74.061,0.03701640963219,"F",1,146,20,166,"1",4,16,166,83,1.38912133891213,0.879518072289157,0.610878661087866,1.37388770769352,0.0970940375819087
"FL8F6",8,6,"TBML","october",28,3.7,190.161,6.365,84.046,0.0334716371916429,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL8F7",8,7,"DC","october",21,2.8,179.241,5.923,82.302,0.0330448948622246,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
"FL8F8",8,8,"TBML","october",28,1.7,151.385,4.692,65.763,0.0309938236945536,"F",0,0,0,0,"0",0,0,0,0,0,0,0,0,0
