"momID","trial_num","fishID","col_month","lat_to_trial","weight","length","depth","svl","snout_len","depth_adj","Sex","MatingSuccess","NumDeveloped","NumUndeveloped","totalEggs","mated","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FU16F6",16,"6","july",18,2.5,165.037,4.954,68.937,10.073,0.0300175112247557,"F",1,197,6,203,"1",6,203,1,0.970443349753695,1,1.71088149255339
"FU1F1",1,"1","june",11,2.1,145.527,5.971,64.84,9.715,0.0410301868381812,"F",1,268,10,278,"1",3,278,0.898222940226171,0.964028776978417,1.00879778344427,0.391682284370626
"FU1F2",1,"2","june",11,2.5,167.067,5.404,66.676,9.963,0.032346304177366,"F",0,0,0,0,"0",0,NA,0,NA,0,0.864326828639089
"FU1F3",1,"3","june",11,2.5,163.165,5.454,67.335,10.745,0.03342628627463,"F",0,0,0,0,"0",0,NA,0,NA,0,1.03397429850451
"FU1F4",1,"4","june",11,2.4,156.667,4.761,61.459,9.362,0.0303892970440488,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.478694188489764
"FU1F5",1,"5","june",11,1.5,146.603,4.025,56.841,8.293,0.0274550998274251,"F",1,323,18,341,"1",3,341,1.10177705977383,0.947214076246334,0.991202216555728,-1.66751363589269
"FU1F6",1,"6","june",11,1.6,149.88,4.7,62.76,9.209,0.0313584200693888,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.143775587131775
"FU2F1",2,"1","june",11,1.9,180.288,4.618,70.958,10.201,0.0256145722399716,"F",0,0,0,0,"0",0,NA,0,NA,0,1.76288404528009
"FU2F2",2,"2","june",11,2.1,152.248,4.52,65.321,10.292,0.0296884031317324,"F",0,0,0,0,"0",0,NA,0,NA,0,0.394067860807004
"FU2F3",2,"3","june",11,1.8,155.197,4.902,59.439,10.463,0.0315856620939838,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.03424095541984
"FU2F4",2,"4","june",11,1.9,149.664,4.293,63.469,8.207,0.0286842527261065,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.0556478698376938
"FU2F5",2,"5","june",11,2.1,143.074,6.101,60.604,8.754,0.0426422690356039,"F",1,473,5,478,"1",3,478,1.80037664783427,0.989539748953975,1.0042663995994,-0.751347420754034
"FU2F6",2,"6","june",11,1.8,148.131,4.151,62.398,8.429,0.0280224936036346,"F",1,52,1,53,"1",3,53,0.199623352165725,0.981132075471698,0.995733600400601,-0.315715660075529
"FU3F1",3,"1","june",14,1.9,152.252,4.418,60.964,8.618,0.0290176812127263,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.12525097637707
"FU3F2",3,"2","june",14,2.8,172.729,6.813,71.052,11.521,0.0394432897776285,"F",1,566,41,607,"1",6,607,1,0.932454695222405,1,1.04479908091445
"FU3F3",3,"3","june",14,2.2,168.442,6.195,70.417,9.862,0.036778238206623,"F",0,0,0,0,"0",0,NA,0,NA,0,0.908202948243935
"FU3F4",3,"4","june",14,2.4,163.254,6.016,67.457,11.077,0.0368505519007191,"F",0,0,0,0,"0",0,NA,0,NA,0,0.271471369181394
"FU3F5",3,"5","june",14,1.6,145.841,4.078,60.131,8.751,0.0279619585713208,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.30443928899839
"FU3F6",3,"6","june",14,1.6,140.506,4.322,67.149,9.4,0.0307602522312214,"F",0,0,0,0,"0",0,NA,0,NA,0,0.205216867035698
"FU5F1",5,"1","june",16,1.7,160.023,3.869,62.698,9.434,0.0241777744449235,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.09257141342999
"FU5F2",5,"2","june",16,2,175.113,4.684,69.898,9.656,0.0267484424343138,"F",1,297,10,307,"1",6,307,1,0.96742671009772,1,1.01265093537356
"FU5F3",5,"3","june",16,2.3,166.566,4.777,67.942,9.514,0.0286793223106756,"F",0,0,0,0,"0",0,NA,0,NA,0,0.440732197281928
"FU5F4",5,"4","june",16,2.2,182.02,5.301,70.217,11.633,0.0291231732776618,"F",0,0,0,0,"0",0,NA,0,NA,0,1.10592398110527
"FU5F5",5,"5","june",16,1.8,168.869,5.62,65.224,8.928,0.0332802349750398,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.353989239391408
"FU5F6",5,"6","june",16,1.8,146.716,4.209,62.629,8.902,0.0286880776466098,"F",0,0,0,0,"0",0,NA,0,NA,0,-1.11274646093935
"FU6F1",6,"1","june",15,2.5,166.309,4.823,69.53,10.342,0.029000234503244,"F",0,0,0,0,"0",0,NA,0,NA,0,0.0297627875941984
"FU6F2",6,"2","june",15,2.2,165.24,5.552,65.562,11.152,0.03359961268458,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.812081599591625
"FU6F3",6,"3","june",15,2.1,177.969,5.266,73.5,10.13,0.0295894228770179,"F",0,0,0,0,"0",0,NA,0,NA,0,0.872031491507433
"FU6F4",6,"4","june",16,2.8,193.007,5.064,77.818,10.9,0.0262373903537177,"F",0,0,0,0,"0",0,NA,0,NA,0,1.78813130599039
"FU6F5",6,"5","june",16,2,170.007,4.883,66.432,9.072,0.0287223467268995,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.627503823167313
"FU6F6",6,"6","june",16,2.2,167.565,6.075,67.957,10.558,0.0362545877719094,"F",0,0,0,0,"0",0,NA,0,NA,0,-0.303962318515506
"FU6FUM",6,"UM","june",15,2.3,170.546,6.213,64.929,9.44,0.0364300540616608,"F",1,528,12,540,"1",7,540,1,0.977777777777778,1,-0.946377843817589
