"maleID","trial_num","fishID","col_date","lat_to_trial","weight","length","depth","svl","snout_len","bp_area","bp_length","preg_status","lat_to_preg","depth_adj","MatingSuccess","NumDeveloped_Calc","NumUndeveloped_Calc","totalEggs"
"FU5M1",5,"1","june",16,1.2,153.282,3.795,58.286,8.472,157.149,37.687,0,NA,0.0651099749511032,0,0,0,0
"FU5M2",5,"2","june",16,1.9,158.636,4.244,61.727,9.22,132.507,36.021,0,NA,0.068754353848397,0,0,0,0
"FU5M3",5,"3","june",16,1.3,143.305,3.719,54.733,8.343,136.013,33.186,0,NA,0.067948038660406,0,0,0,0
"FU5M4",5,"4","june",16,1.5,143.472,3.331,54.568,8.122,122.523,35.565,0,NA,0.0610431021844304,0,0,0,0
"FU5M5",5,"5","june",16,1.6,148.654,3.531,54.774,7.455,144.621,37.027,1,6,0.0644648921020922,1,297,10,307
"FU5M6",5,"6","june",16,1.3,143.845,3.812,54.435,8.022,113.96,34.845,0,NA,0.0700284743271792,0,0,0,0
"FU6M1",6,"1","june",15,1.9,163.517,4.742,65.128,9.81,150.481,40.957,0,NA,0.0728104655447734,0,0,0,0
"FU6M2",6,"2","june",15,2,148.06,4.343,56.048,8.366,127.697,35.93,0,NA,0.077487153868113,0,0,0,0
"FU6M3",6,"3","june",15,1.9,167.755,3.959,59.99,9.524,130.743,45.662,0,NA,0.0659943323887315,0,0,0,0
"FU6M4",6,"4","june",15,1.5,148.43,3.627,58.459,8.102,149.911,39.633,1,4,0.0620434834670453,1,528,12,540
"FU6M5",6,"5","june",15,1.8,156.137,4.658,59.877,9.026,158.628,37.374,0,NA,0.0777928085909448,0,0,0,0
"FU6M6",6,"6","june",15,2.3,173.826,4.746,66.908,9.236,156.289,40.916,0,NA,0.0709332217373109,0,0,0,0
