"trial_num","fishID","rank_2_mate","fem_mate","NumDeveloped","NumUndeveloped","totalEggs","lat_to_preg","per_surviving","length","fem_mate_len","fem_mate_cat","maleID","MatingSuccess","w1","w1_squared","W2","W2_bar","w2","W3","W3_bar","w3","i3"
"C7",7,1,"F6",13,6,19,1,0.684210526,8.995,"10.416","m","C7M7",1,1.14285714285714,1.30612244897959,19,2.71428571428571,0.764367816091954,0.684210526315789,0.0747126436781609,0.84434490481523,0.00264564174990011
"C7",8,2,"F3",22,10,32,4,0.6875,10.328,"10.007","m","C7M8",1,1.14285714285714,1.30612244897959,32,4.57142857142857,1.28735632183908,0.6875,0.126436781609195,0.848404255319149,0.00422644042397091
"C8",1,1,"F8",39,4,43,1,0.906976744,10.601,"11.604","m","C8M1",1,1,1,43,5.375,1.12418300653595,0.906976744186046,0.127450980392157,0.940796216003153,0.000492545051308652
"C8",2,2,"F6",29,0,29,2,1,8.888,"10.163","s","C8M2",1,1,1,29,3.625,0.758169934640523,1,0.0947712418300654,1.03728813559322,0.000131770413805665
"C8",3,1,"F8",40,3,43,1,0.930232558,9.08,"11.604","m","C8M3",1,1,1,43,5.375,1.12418300653595,0.930232558139535,0.130718954248366,0.96491919590067,0.000172936278101272
"C8",4,2,"F5",51,0,51,2,1,10.25,"9.553","s","C8M4",1,1,1,51,6.375,1.33333333333333,1,0.166666666666667,1.03728813559322,0.000231734176003065
"C8",5,1,"F1",43,1,44,1,0.977272727,9.399,"9.965","s","C8M5",1,1,1,44,5.5,1.15032679738562,0.977272727272727,0.140522875816993,1.01371340523883,2.70409453031082e-05
"C8",6,3,"F3",52,1,53,3,0.981132075,9.373,"9.974","s","C8M6",1,1,1,53,6.625,1.38562091503268,0.981132075471698,0.169934640522876,1.01771666133674,5.43648520026394e-05
"C8",7,1,"F4",25,0,25,1,1,9.516,"10.514","s","C8M7",1,1,1,25,3.125,0.65359477124183,1,0.0816993464052288,1.03728813559322,0.000113595184315228
"C8",8,2,"F8",16,2,18,2,0.888888889,9.979,"11.604","m","C8M8",1,1,1,18,2.25,0.470588235294118,0.888888888888889,0.0522875816993464,0.922033898305085,0.000357571353735405
